date,crop,zone,price,quantity_sold_kg
2025-10-08,Potato,Zone B,24.9,61.4
2025-10-08,Garlic,Zone A,181.88,87.9
2025-10-08,Garlic,Zone B,184.96,84.1
2025-10-08,Ginger,Zone A,79.5,67.6
2025-10-08,Ginger,Zone B,79.27,91.3
2025-10-08,Capsicum,Zone A,41.16,60.4
2025-10-08,Capsicum,Zone B,41.52,63.8
2025-10-08,Cauliflower,Zone A,31.8,58.0
2025-10-08,Cauliflower,Zone B,30.59,39.8
2025-10-08,Chilli,Zone A,56.94,61.7
2025-10-08,Chilli,Zone B,56.32,42.0
2025-10-08,Grapes,Zone A,126.01,41.7
2025-10-08,Grapes,Zone B,126.36,63.2
2025-10-08,Apple,Zone A,113.13,75.5
2025-10-08,Apple,Zone B,117.52,25.1
2025-10-08,Banana,Zone A,44.74,53.3
2025-10-08,Banana,Zone B,43.54,53.6
2025-10-08,Strawberry,Zone A,241.19,75.6
2025-10-08,Strawberry,Zone B,246.41,81.2
2025-10-09,Tomato,Zone A,18.98,48.1
2025-10-09,Tomato,Zone B,20.16,88.3
2025-10-09,Onion,Zone A,46.74,79.8
2025-10-09,Onion,Zone B,47.21,68.3
2025-10-09,Potato,Zone A,23.76,54.9
2025-10-09,Potato,Zone B,23.39,46.9
2025-10-09,Garlic,Zone A,204.16,33.2
2025-10-09,Garlic,Zone B,205.2,30.2
2025-10-09,Ginger,Zone A,73.03,51.5
2025-10-09,Ginger,Zone B,76.29,22.2
2025-10-09,Capsicum,Zone A,39.39,56.9
2025-10-09,Capsicum,Zone B,39.11,50.3
2025-10-09,Cauliflower,Zone A,28.73,80.9
2025-10-09,Cauliflower,Zone B,28.85,80.2
2025-10-09,Chilli,Zone A,55.7,26.6
2025-10-09,Chilli,Zone B,54.64,63.2
2025-10-09,Grapes,Zone A,146.72,72.0
2025-10-09,Grapes,Zone B,151.84,72.1
2025-10-09,Apple,Zone A,134.13,35.9
2025-10-09,Apple,Zone B,124.5,32.2
2025-10-09,Banana,Zone A,43.91,65.1
2025-10-09,Banana,Zone B,42.34,76.0
2025-10-09,Strawberry,Zone A,228.37,68.6
2025-10-09,Strawberry,Zone B,239.26,29.2
2025-10-10,Tomato,Zone A,21.41,28.6
2025-10-10,Tomato,Zone B,19.86,45.0
2025-10-10,Onion,Zone A,47.48,51.7
2025-10-10,Onion,Zone B,46.59,26.1
2025-10-10,Potato,Zone A,25.74,28.2
2025-10-10,Potato,Zone B,26.03,88.0
2025-10-10,Garlic,Zone A,197.05,98.7
2025-10-10,Garlic,Zone B,207.81,47.8
2025-10-10,Ginger,Zone A,72.52,60.5
2025-10-10,Ginger,Zone B,72.35,88.0
2025-10-10,Capsicum,Zone A,39.99,96.9
2025-10-10,Capsicum,Zone B,41.74,86.3
2025-10-10,Cauliflower,Zone A,30.46,78.7
2025-10-10,Cauliflower,Zone B,31.76,41.6
2025-10-10,Chilli,Zone A,56.87,58.7
2025-10-10,Chilli,Zone B,56.4,78.5
2025-10-10,Grapes,Zone A,136.13,86.5
2025-10-10,Grapes,Zone B,128.03,90.5
2025-10-10,Apple,Zone A,117.65,68.8
2025-10-10,Apple,Zone B,116.84,22.3
2025-10-10,Banana,Zone A,45.39,37.0
2025-10-10,Banana,Zone B,47.69,47.2
2025-10-10,Strawberry,Zone A,242.53,42.1
2025-10-10,Strawberry,Zone B,229.34,95.8
2025-10-11,Tomato,Zone A,19.51,59.1
2025-10-11,Tomato,Zone B,19.57,75.2
2025-10-11,Onion,Zone A,45.62,83.4
2025-10-11,Onion,Zone B,44.17,37.7
2025-10-11,Potato,Zone A,25.08,66.5
2025-10-11,Potato,Zone B,25.42,62.5
2025-10-11,Garlic,Zone A,201.5,46.5
2025-10-11,Garlic,Zone B,200.82,41.7
2025-10-11,Ginger,Zone A,68.74,35.4
2025-10-11,Ginger,Zone B,68.74,62.9
2025-10-11,Capsicum,Zone A,40.01,37.3
2025-10-11,Capsicum,Zone B,41.0,78.0
2025-10-11,Cauliflower,Zone A,31.49,42.6
2025-10-11,Cauliflower,Zone B,30.43,35.5
2025-10-11,Chilli,Zone A,52.13,21.1
2025-10-11,Chilli,Zone B,53.65,41.9
2025-10-11,Grapes,Zone A,148.57,75.8
2025-10-11,Grapes,Zone B,143.51,89.5
2025-10-11,Apple,Zone A,127.23,65.9
2025-10-11,Apple,Zone B,123.24,55.2
2025-10-11,Banana,Zone A,42.02,95.3
2025-10-11,Banana,Zone B,43.5,85.8
2025-10-11,Strawberry,Zone A,213.88,70.4
2025-10-11,Strawberry,Zone B,213.52,31.9
2025-10-12,Tomato,Zone A,19.81,99.5
2025-10-12,Tomato,Zone B,19.51,81.2
2025-10-12,Onion,Zone A,46.54,38.1
2025-10-12,Onion,Zone B,45.56,56.0
2025-10-12,Potato,Zone A,25.57,99.2
2025-10-12,Potato,Zone B,24.47,69.7
2025-10-12,Garlic,Zone A,207.42,95.8
2025-10-12,Garlic,Zone B,198.75,36.9
2025-10-12,Ginger,Zone A,74.32,33.9
2025-10-12,Ginger,Zone B,73.82,20.2
2025-10-12,Capsicum,Zone A,40.1,43.3
2025-10-12,Capsicum,Zone B,38.95,76.6
2025-10-12,Cauliflower,Zone A,30.5,75.0
2025-10-12,Cauliflower,Zone B,31.65,83.0
2025-10-12,Chilli,Zone A,56.41,94.7
2025-10-12,Chilli,Zone B,55.35,63.6
2025-10-12,Grapes,Zone A,145.35,86.1
2025-10-12,Grapes,Zone B,135.92,33.3
2025-10-12,Apple,Zone A,121.8,65.5
2025-10-12,Apple,Zone B,117.4,29.9
2025-10-12,Banana,Zone A,46.58,95.4
2025-10-12,Banana,Zone B,45.85,59.5
2025-10-12,Strawberry,Zone A,202.17,54.6
2025-10-12,Strawberry,Zone B,206.91,40.0
2025-10-13,Tomato,Zone A,19.89,86.9
2025-10-13,Tomato,Zone B,19.3,96.1
2025-10-13,Onion,Zone A,47.9,41.6
2025-10-13,Onion,Zone B,45.51,80.5
2025-10-13,Potato,Zone A,25.23,93.3
2025-10-13,Potato,Zone B,24.29,66.8
2025-10-13,Garlic,Zone A,204.18,27.3
2025-10-13,Garlic,Zone B,201.83,46.7
2025-10-13,Ginger,Zone A,78.74,46.4
2025-10-13,Ginger,Zone B,77.73,43.1
2025-10-13,Capsicum,Zone A,42.83,64.0
2025-10-13,Capsicum,Zone B,41.63,45.2
2025-10-13,Cauliflower,Zone A,30.58,52.3
2025-10-13,Cauliflower,Zone B,29.5,99.0
2025-10-13,Chilli,Zone A,56.06,53.1
2025-10-13,Chilli,Zone B,54.47,48.9
2025-10-13,Grapes,Zone A,144.58,80.8
2025-10-13,Grapes,Zone B,139.75,63.9
2025-10-13,Apple,Zone A,132.71,75.9
2025-10-13,Apple,Zone B,129.33,97.9
2025-10-13,Banana,Zone A,44.54,32.7
2025-10-13,Banana,Zone B,45.67,64.2
2025-10-13,Strawberry,Zone A,218.64,93.0
2025-10-13,Strawberry,Zone B,209.71,29.4
2025-10-14,Tomato,Zone A,20.66,77.3
2025-10-14,Tomato,Zone B,20.68,41.9
2025-10-14,Onion,Zone A,48.29,39.5
2025-10-14,Onion,Zone B,46.7,50.7
2025-10-14,Potato,Zone A,26.07,90.3
2025-10-14,Potato,Zone B,26.81,42.1
2025-10-14,Garlic,Zone A,207.86,94.7
2025-10-14,Garlic,Zone B,209.41,85.6
2025-10-14,Ginger,Zone A,70.17,67.0
2025-10-14,Ginger,Zone B,74.16,59.2
2025-10-14,Capsicum,Zone A,38.71,47.6
2025-10-14,Capsicum,Zone B,38.75,63.5
2025-10-14,Cauliflower,Zone A,29.44,35.1
2025-10-14,Cauliflower,Zone B,30.34,65.7
2025-10-14,Chilli,Zone A,54.71,23.5
2025-10-14,Chilli,Zone B,54.58,76.4
2025-10-14,Grapes,Zone A,143.04,73.1
2025-10-14,Grapes,Zone B,148.06,98.5
2025-10-14,Apple,Zone A,119.07,60.2
2025-10-14,Apple,Zone B,124.54,89.6
2025-10-14,Banana,Zone A,46.46,62.1
2025-10-14,Banana,Zone B,46.52,77.8
2025-10-14,Strawberry,Zone A,224.51,32.3
2025-10-14,Strawberry,Zone B,221.22,97.5
2025-10-15,Tomato,Zone A,19.98,72.0
2025-10-15,Tomato,Zone B,20.23,88.2
2025-10-15,Onion,Zone A,46.17,45.3
2025-10-15,Onion,Zone B,47.43,80.8
2025-10-15,Potato,Zone A,24.97,25.5
2025-10-15,Potato,Zone B,26.2,93.7
2025-10-15,Garlic,Zone A,220.18,54.7
2025-10-15,Garlic,Zone B,208.98,70.7
2025-10-15,Ginger,Zone A,78.92,75.5
2025-10-15,Ginger,Zone B,81.84,23.7
2025-10-15,Capsicum,Zone A,40.5,50.0
2025-10-15,Capsicum,Zone B,40.02,62.5
2025-10-15,Cauliflower,Zone A,30.9,33.6
2025-10-15,Cauliflower,Zone B,29.18,89.7
2025-10-15,Chilli,Zone A,54.5,93.0
2025-10-15,Chilli,Zone B,54.07,56.9
2025-10-15,Grapes,Zone A,129.5,20.8
2025-10-15,Grapes,Zone B,135.31,92.1
2025-10-15,Apple,Zone A,124.25,55.3
2025-10-15,Apple,Zone B,126.17,67.0
2025-10-15,Banana,Zone A,45.35,40.0
2025-10-15,Banana,Zone B,46.89,35.9
2025-10-15,Strawberry,Zone A,220.55,39.0
2025-10-15,Strawberry,Zone B,222.12,66.0
2025-10-16,Tomato,Zone A,20.64,98.2
2025-10-16,Tomato,Zone B,21.25,42.0
2025-10-16,Onion,Zone A,45.97,79.6
2025-10-16,Onion,Zone B,43.66,68.5
2025-10-16,Potato,Zone A,25.8,42.9
2025-10-16,Potato,Zone B,25.59,68.6
2025-10-16,Garlic,Zone A,197.41,69.7
2025-10-16,Garlic,Zone B,198.05,77.7
2025-10-16,Ginger,Zone A,78.47,70.3
2025-10-16,Ginger,Zone B,78.86,71.7
2025-10-16,Capsicum,Zone A,39.05,66.4
2025-10-16,Capsicum,Zone B,39.97,27.2
2025-10-16,Cauliflower,Zone A,29.97,34.1
2025-10-16,Cauliflower,Zone B,28.52,63.2
2025-10-16,Chilli,Zone A,57.74,93.1
2025-10-16,Chilli,Zone B,59.12,40.6
2025-10-16,Grapes,Zone A,144.43,84.5
2025-10-16,Grapes,Zone B,147.5,47.1
2025-10-16,Apple,Zone A,119.35,31.3
2025-10-16,Apple,Zone B,119.39,88.8
2025-10-16,Banana,Zone A,47.78,97.4
2025-10-16,Banana,Zone B,47.13,49.3
2025-10-16,Strawberry,Zone A,226.31,62.9
2025-10-16,Strawberry,Zone B,234.61,73.8
2025-10-17,Tomato,Zone A,20.48,85.8
2025-10-17,Tomato,Zone B,21.06,28.7
2025-10-17,Onion,Zone A,42.14,90.7
2025-10-17,Onion,Zone B,44.02,93.2
2025-10-17,Potato,Zone A,23.45,85.9
2025-10-17,Potato,Zone B,25.1,44.2
2025-10-17,Garlic,Zone A,191.39,95.7
2025-10-17,Garlic,Zone B,193.98,59.4
2025-10-17,Ginger,Zone A,70.94,30.9
2025-10-17,Ginger,Zone B,68.56,73.6
2025-10-17,Capsicum,Zone A,42.43,53.5
2025-10-17,Capsicum,Zone B,41.77,32.4
2025-10-17,Cauliflower,Zone A,28.79,59.1
2025-10-17,Cauliflower,Zone B,29.53,96.1
2025-10-17,Chilli,Zone A,51.89,55.5
2025-10-17,Chilli,Zone B,54.32,88.4
2025-10-17,Grapes,Zone A,130.6,63.6
2025-10-17,Grapes,Zone B,133.61,48.7
2025-10-17,Apple,Zone A,118.44,29.8
2025-10-17,Apple,Zone B,124.84,56.4
2025-10-17,Banana,Zone A,46.25,67.8
2025-10-17,Banana,Zone B,43.98,82.9
2025-10-17,Strawberry,Zone A,209.31,65.2
2025-10-17,Strawberry,Zone B,208.32,81.2
2025-10-18,Tomato,Zone A,18.97,89.6
2025-10-18,Tomato,Zone B,19.15,31.8
2025-10-18,Onion,Zone A,44.94,88.7
2025-10-18,Onion,Zone B,45.47,30.4
2025-10-18,Potato,Zone A,23.74,72.9
2025-10-18,Potato,Zone B,23.45,21.2
2025-10-18,Garlic,Zone A,204.89,45.9
2025-10-18,Garlic,Zone B,203.83,24.2
2025-10-18,Ginger,Zone A,77.67,79.7
2025-10-18,Ginger,Zone B,77.37,82.2
2025-10-18,Capsicum,Zone A,38.8,60.3
2025-10-18,Capsicum,Zone B,41.48,23.5
2025-10-18,Cauliflower,Zone A,31.76,61.7
2025-10-18,Cauliflower,Zone B,30.75,97.1
2025-10-18,Chilli,Zone A,52.5,52.1
2025-10-18,Chilli,Zone B,53.37,59.2
2025-10-18,Grapes,Zone A,141.51,26.5
2025-10-18,Grapes,Zone B,147.78,25.3
2025-10-18,Apple,Zone A,119.95,63.9
2025-10-18,Apple,Zone B,117.03,99.6
2025-10-18,Banana,Zone A,44.97,68.4
2025-10-18,Banana,Zone B,43.69,76.1
2025-10-18,Strawberry,Zone A,240.57,81.5
2025-10-18,Strawberry,Zone B,241.9,37.2
2025-10-19,Tomato,Zone A,19.47,47.1
2025-10-19,Tomato,Zone B,19.83,53.3
2025-10-19,Onion,Zone A,42.92,73.2
2025-10-19,Onion,Zone B,42.74,32.2
2025-10-19,Potato,Zone A,25.16,86.5
2025-10-19,Potato,Zone B,25.21,27.7
2025-10-19,Garlic,Zone A,212.82,64.5
2025-10-19,Garlic,Zone B,209.08,64.9
2025-10-19,Ginger,Zone A,69.78,48.3
2025-10-19,Ginger,Zone B,72.9,80.0
2025-10-19,Capsicum,Zone A,42.21,97.5
2025-10-19,Capsicum,Zone B,41.81,48.1
2025-10-19,Cauliflower,Zone A,29.54,72.5
2025-10-19,Cauliflower,Zone B,29.57,28.7
2025-10-19,Chilli,Zone A,56.3,81.0
2025-10-19,Chilli,Zone B,57.24,84.6
2025-10-19,Grapes,Zone A,150.6,85.5
2025-10-19,Grapes,Zone B,146.41,71.4
2025-10-19,Apple,Zone A,116.97,86.4
2025-10-19,Apple,Zone B,110.99,34.4
2025-10-19,Banana,Zone A,45.21,47.2
2025-10-19,Banana,Zone B,44.1,89.6
2025-10-19,Strawberry,Zone A,225.58,31.3
2025-10-19,Strawberry,Zone B,229.81,22.5
2025-10-20,Tomato,Zone A,20.03,53.6
2025-10-20,Tomato,Zone B,20.23,49.6
2025-10-20,Onion,Zone A,47.02,65.4
2025-10-20,Onion,Zone B,44.47,24.2
2025-10-20,Potato,Zone A,24.37,73.9
2025-10-20,Potato,Zone B,23.7,73.0
2025-10-20,Garlic,Zone A,198.62,41.9
2025-10-20,Garlic,Zone B,203.61,29.1
2025-10-20,Ginger,Zone A,72.03,74.3
2025-10-20,Ginger,Zone B,73.23,73.4
2025-10-20,Capsicum,Zone A,37.86,67.9
2025-10-20,Capsicum,Zone B,36.68,44.1
2025-10-20,Cauliflower,Zone A,28.29,40.4
2025-10-20,Cauliflower,Zone B,28.73,20.6
2025-10-20,Chilli,Zone A,54.9,50.4
2025-10-20,Chilli,Zone B,57.28,60.0
2025-10-20,Grapes,Zone A,148.38,25.8
2025-10-20,Grapes,Zone B,149.03,23.4
2025-10-20,Apple,Zone A,116.73,89.0
2025-10-20,Apple,Zone B,113.61,65.9
2025-10-20,Banana,Zone A,45.64,29.2
2025-10-20,Banana,Zone B,44.18,46.0
2025-10-20,Strawberry,Zone A,238.08,86.6
2025-10-20,Strawberry,Zone B,243.77,27.1
2025-10-21,Tomato,Zone A,20.26,67.1
2025-10-21,Tomato,Zone B,20.73,51.7
2025-10-21,Onion,Zone A,43.58,46.6
2025-10-21,Onion,Zone B,42.97,60.8
2025-10-21,Potato,Zone A,24.05,92.5
2025-10-21,Potato,Zone B,23.75,78.2
2025-10-21,Garlic,Zone A,215.5,38.9
2025-10-21,Garlic,Zone B,204.26,35.8
2025-10-21,Ginger,Zone A,77.21,72.4
2025-10-21,Ginger,Zone B,73.68,81.8
2025-10-21,Capsicum,Zone A,40.79,80.8
2025-10-21,Capsicum,Zone B,39.81,93.9
2025-10-21,Cauliflower,Zone A,30.52,70.0
2025-10-21,Cauliflower,Zone B,31.07,70.2
2025-10-21,Chilli,Zone A,51.25,55.4
2025-10-21,Chilli,Zone B,52.24,42.0
2025-10-21,Grapes,Zone A,127.81,44.8
2025-10-21,Grapes,Zone B,127.24,24.6
2025-10-21,Apple,Zone A,126.77,89.1
2025-10-21,Apple,Zone B,134.94,69.2
2025-10-21,Banana,Zone A,44.9,64.3
2025-10-21,Banana,Zone B,46.08,91.7
2025-10-21,Strawberry,Zone A,228.72,72.1
2025-10-21,Strawberry,Zone B,220.0,58.1
2025-10-22,Tomato,Zone A,18.63,28.3
2025-10-22,Tomato,Zone B,19.92,47.5
2025-10-22,Onion,Zone A,45.98,33.8
2025-10-22,Onion,Zone B,45.04,55.0
2025-10-22,Potato,Zone A,24.89,32.7
2025-10-22,Potato,Zone B,24.6,42.6
2025-10-22,Garlic,Zone A,194.53,67.8
2025-10-22,Garlic,Zone B,201.64,71.8
2025-10-22,Ginger,Zone A,66.17,74.3
2025-10-22,Ginger,Zone B,67.21,77.9
2025-10-22,Capsicum,Zone A,41.95,89.9
2025-10-22,Capsicum,Zone B,40.08,66.6
2025-10-22,Cauliflower,Zone A,28.58,97.4
2025-10-22,Cauliflower,Zone B,29.38,51.4
2025-10-22,Chilli,Zone A,57.47,44.8
2025-10-22,Chilli,Zone B,54.97,83.3
2025-10-22,Grapes,Zone A,146.36,86.3
2025-10-22,Grapes,Zone B,147.15,74.8
2025-10-22,Apple,Zone A,125.8,53.9
2025-10-22,Apple,Zone B,122.97,49.0
2025-10-22,Banana,Zone A,42.57,95.8
2025-10-22,Banana,Zone B,43.51,38.1
2025-10-22,Strawberry,Zone A,204.78,87.6
2025-10-22,Strawberry,Zone B,205.19,81.7
2025-10-23,Tomato,Zone A,21.3,23.0
2025-10-23,Tomato,Zone B,20.4,81.3
2025-10-23,Onion,Zone A,42.91,33.0
2025-10-23,Onion,Zone B,44.49,81.7
2025-10-23,Potato,Zone A,25.08,55.0
2025-10-23,Potato,Zone B,25.59,74.1
2025-10-23,Garlic,Zone A,190.75,42.8
2025-10-23,Garlic,Zone B,195.41,55.9
2025-10-23,Ginger,Zone A,73.57,84.7
2025-10-23,Ginger,Zone B,74.52,86.8
2025-10-23,Capsicum,Zone A,40.88,98.8
2025-10-23,Capsicum,Zone B,39.35,42.5
2025-10-23,Cauliflower,Zone A,29.71,97.3
2025-10-23,Cauliflower,Zone B,30.4,84.1
2025-10-23,Chilli,Zone A,51.95,71.3
2025-10-23,Chilli,Zone B,54.6,64.4
2025-10-23,Grapes,Zone A,132.32,88.1
2025-10-23,Grapes,Zone B,126.54,81.0
2025-10-23,Apple,Zone A,122.48,31.8
2025-10-23,Apple,Zone B,118.04,95.7
2025-10-23,Banana,Zone A,43.58,48.0
2025-10-23,Banana,Zone B,42.09,24.3
2025-10-23,Strawberry,Zone A,220.31,99.6
2025-10-23,Strawberry,Zone B,222.82,22.3
2025-10-24,Tomato,Zone A,21.43,72.0
2025-10-24,Tomato,Zone B,21.35,31.0
2025-10-24,Onion,Zone A,45.2,75.7
2025-10-24,Onion,Zone B,42.77,76.4
2025-10-24,Potato,Zone A,23.89,26.3
2025-10-24,Potato,Zone B,24.39,86.8
